"","country","country_group","age_pr","household_income","trust_president","satisfaction_economy"
"193","Albania","EU-candidate",50,60000,NA,5
"194","Albania","EU-candidate",38,40000,5,4
"195","Albania","EU-candidate",38,40000,3,4
"196","Albania","EU-candidate",33,25000,1,1
"197","Albania","EU-candidate",63,70000,4,3
"198","Albania","EU-candidate",48,90000,5,4
"199","Albania","EU-candidate",24,80000,2,4
"200","Albania","EU-candidate",65,80000,4,4
"201","Albania","EU-candidate",59,40000,4,4
"202","Albania","EU-candidate",34,NA,3,4
"203","Albania","EU-candidate",58,70000,4,4
"204","Albania","EU-candidate",67,30000,3,3
"205","Albania","EU-candidate",74,NA,3,4
"206","Albania","EU-candidate",34,NA,1,4
"207","Albania","EU-candidate",50,40000,3,3
"208","Albania","EU-candidate",48,50000,3,4
"209","Albania","EU-candidate",70,25000,1,2
"210","Albania","EU-candidate",18,50000,2,3
"211","Albania","EU-candidate",62,NA,3,4
"212","Albania","EU-candidate",65,40000,2,3
"213","Albania","EU-candidate",58,56000,3,4
"214","Albania","EU-candidate",64,60000,4,4
"215","Albania","EU-candidate",40,78000,3,4
"216","Albania","EU-candidate",28,50000,3,3
"217","Albania","EU-candidate",52,70000,2,3
"218","Albania","EU-candidate",32,NA,2,4
"219","Albania","EU-candidate",57,120000,3,3
"220","Albania","EU-candidate",55,80000,4,4
"221","Albania","EU-candidate",33,35000,4,4
"222","Albania","EU-candidate",38,40000,3,4
"223","Albania","EU-candidate",21,70000,3,4
"224","Albania","EU-candidate",68,3000,4,4
"225","Albania","EU-candidate",40,85000,4,4
"226","Albania","EU-candidate",38,NA,4,4
"227","Albania","EU-candidate",62,45000,4,4
"228","Albania","EU-candidate",20,NA,3,4
"229","Albania","EU-candidate",18,NA,3,4
"230","Albania","EU-candidate",26,NA,4,4
"231","Albania","EU-candidate",69,35000,2,4
"232","Albania","EU-candidate",61,50000,2,4
"233","Albania","EU-candidate",57,40000,2,4
"234","Albania","EU-candidate",69,30000,2,2
"235","Albania","EU-candidate",42,NA,5,4
"236","Albania","EU-candidate",54,70000,3,3
"237","Albania","EU-candidate",62,80000,2,4
"238","Albania","EU-candidate",19,50000,4,2
"239","Albania","EU-candidate",45,50000,3,4
"240","Albania","EU-candidate",74,30000,2,3
"241","Albania","EU-candidate",40,NA,4,4
"242","Albania","EU-candidate",54,75000,4,4
"243","Albania","EU-candidate",31,80000,4,4
"244","Albania","EU-candidate",44,50000,4,4
"245","Albania","EU-candidate",74,30000,4,4
"246","Albania","EU-candidate",47,50000,4,4
"247","Albania","EU-candidate",76,18000,2,2
